Sample #,Sample Name on LC/MS,Location,Date,Time,Collecter,Type,Project,Comment,Container Mass (g),Total mass (g),Sample Mass (g),TOC/IC sample collected?,PFAS Collected?,Isotope #,Delta 2H,Delta 18O,Delta 17O,Ran on Auto SPE,Corresponding Table,11Cl-PF3OUdS Results,3-3 FTCA Results,4:2FTS Results,5-3 FTCA Results,6:2FTS Results,7-3 FTCA Results,8:2FTS Results,9Cl-PF3ONS Results,ADONA Results,HFPO-DA Results,NEtFOSA Results,NEtFOSAA Results,NEtFOSE Results,NFDHA Results,NMeFOSA Results,NMeFOSAA Results,NMeFOSE Results,PFBA Results,PFBS Results,PFDA Results,PFDoA Results,PFDoS Results,PFDS Results,PFEESA Results,PFHpA Results,PFHpS Results,PFHxA Results,PFHxS Results,PFMBA Results,PFMPA Results,PFNA Results,PFNS Results,PFOA Results,PFOS Results,PFOSA Results,PFPeA Results,PFPeS Results,PFTeDA Results,PFTrDA Results,PFUnA Results
11,SE12_13,Wet Center ,7/11/25,4:20:00 AM,RV,Stream,Stream_Storm,Storm 12. Sample #13,41.58,414.81,373.23,"Yes, subsampled 100 Ml from PFAS sample",Yes,1985,-51.08,-8.21,-3.906247,06/03/26,RV_PFAS_07082026,0.01 bdl,0.16 bdl,0.00 bdl,0.84 bdl,0.86 bdl,0.38 bdl,0.02 bdl,0.01 bdl,0.02 bdl,0.06 bdl,0.27 bdl,0.18 bdl,0.78 bdl,0.08 bdl,0.46 bdl,0.32 bdl,1.02 bdl,0.83 bdl,1.43,0.12 bdl,0.03 bdl,0.02 bdl,0.02 bdl,0.02 bdl,2.47,0.05 bdl,4.83,1.17 bdl,0.01 bdl,0.02 bdl,0.68 bdl,0.01 bdl,4.57,1.95,10.29,3.92,0.23 bdl,0.04 bdl,0.05 bdl,0.03 bdl
12,SE12_15,Wet Center ,7/11/25,10:20:00 AM,RV,Stream,Stream_Storm,Storm 12. Sample #15,41.58,423.05,381.47,"Yes, subsampled 100 Ml from PFAS sample",Yes,1987,-50.42,-8.21,-3.922179,06/03/26,RV_PFAS_07082026,0.00 bdl,0.14 bdl,0.00 bdl,0.66 bdl,0.77 bdl,0.16 bdl,0.10 bdl,0.01 bdl,0.00 bdl,0.07 bdl,0.40 bdl,0.19 bdl,1.12 bdl,0.06 bdl,0.79 bdl,0.30 bdl,1.27 bdl,0.29 bdl,1.68,0.15 bdl,0.03 bdl,0.00 bdl,0.00 bdl,0.01 bdl,2.81,0.03 bdl,4.9,1.13 bdl,0.02 bdl,0.02 bdl,0.56 bdl,0.00 bdl,5.08,2.3,12.65,3.97,0.22 bdl,0.05 bdl,0.04 bdl,0.06 bdl
13,SE12_17,Wet Center ,7/11/25,4:20:00 PM,RV,Stream,Stream_Storm,Storm 12. Sample #17,41.58,429.58,388.00,"Yes, subsampled 100 Ml from PFAS sample",Yes,1989,-51.04,-8.16,-3.945318,06/03/26,RV_PFAS_07082026,0.00 bdl,0.49 bdl,0.00 bdl,0.13 bdl,0.80 bdl,0.33 bdl,0.03 bdl,0.02 bdl,0.01 bdl,0.03 bdl,0.40 bdl,0.11 bdl,0.99 bdl,0.09 bdl,0.63 bdl,0.31 bdl,0.98 bdl,0.74 bdl,1.53,0.19 bdl,0.06 bdl,0.01 bdl,0.00 bdl,0.00 bdl,2.52,0.09 bdl,5.2,0.86 bdl,0.01 bdl,0.01 bdl,0.67 bdl,0.02 bdl,4.31,2.32,11.28,4.15,0.16 bdl,0.02 bdl,0.06 bdl,0.03 bdl
14,SE12_19,Wet Center ,7/11/25,10:20:00 PM,RV,Stream,Stream_Storm,Storm 12. Sample #19,41.58,441.70,400.12,"Yes, subsampled 100 Ml from PFAS sample",Yes,1991,-51.53,-8.25,-3.906524,06/03/26,RV_PFAS_07082026,0.00 bdl,0.00 bdl,0.00 bdl,0.00 bdl,0.81 bdl,0.11 bdl,0.06 bdl,0.02 bdl,0.01 bdl,0.10 bdl,0.27 bdl,0.15 bdl,0.67 bdl,0.09 bdl,0.42 bdl,0.30 bdl,0.63 bdl,0.78 bdl,1.69,0.13 bdl,0.03 bdl,0.03 bdl,0.00 bdl,0.01 bdl,2.36,0.13 bdl,4.92,1.09 bdl,0.01 bdl,0.01 bdl,0.72 bdl,0.04 bdl,4.26,1.91,8.11,4.06,0.14 bdl,0.06 bdl,0.03 bdl,0.03 bdl
15,SE12_21,Wet Center ,7/12/25,4:20:00 AM,RV,Stream,Stream_Storm,"Storm 12. Sample #21, estimated tare",41.58,447.40,405.82,"Yes, subsampled 100 Ml from PFAS sample",Yes,1993,-50.94,-8.15,-3.896606,06/04/26,RV_PFAS_07082026,0.00 bdl,0.02 bdl,0.00 bdl,0.23 bdl,0.69 bdl,0.49 bdl,0.04 bdl,0.01 bdl,0.00 bdl,0.12 bdl,0.29 bdl,0.18 bdl,0.37 bdl,0.07 bdl,0.36 bdl,0.46 bdl,0.44 bdl,2.76 bdl,1.54,0.12 bdl,0.04 bdl,0.03 bdl,0.01 bdl,0.01 bdl,2.75,0.09 bdl,5.02,1.06 bdl,0.00 bdl,0.01 bdl,0.59 bdl,0.01 bdl,3.86,1.81,0.40 bdl,3.92,0.16 bdl,0.05 bdl,0.08 bdl,0.07 bdl
16,SE12_23,Wet Center ,7/12/25,10:20:00 AM,RV,Stream,Stream_Storm,"Storm 12. Sample #23, estimated tare",41.58,442.82,401.24,"Yes, subsampled 100 Ml from PFAS sample",Yes,1995,-53.24,-8.51,-4.149485,06/04/26,RV_PFAS_07082026,0.01 bdl,0.09 bdl,0.00 bdl,0.32 bdl,0.66 bdl,0.43 bdl,0.01 bdl,0.00 bdl,0.01 bdl,0.05 bdl,0.30 bdl,0.14 bdl,0.37 bdl,0.09 bdl,0.27 bdl,0.40 bdl,0.33 bdl,0.68 bdl,1.51,0.13 bdl,0.07 bdl,0.00 bdl,0.01 bdl,0.00 bdl,2.48,0.01 bdl,4.72,0.87 bdl,0.01 bdl,0.01 bdl,0.55 bdl,0.00 bdl,3.8,1.84,0.28 bdl,3.9,0.15 bdl,0.08 bdl,0.01 bdl,0.06 bdl
,B2_5_26,Blank,5/4/26,11:59 PM,,,,Blank,42.05,541.72,499.67,,,,,,,06/03/26,RV_PFAS_07082026,0.01 bdl,0.01 bdl,0.00 bdl,0.15 bdl,0.15 bdl,0.02 bdl,0.02 bdl,0.00 bdl,0.01 bdl,0.03 bdl,0.28 bdl,0.31 bdl,0.55 bdl,0.06 bdl,0.65 bdl,0.29 bdl,0.43 bdl,0.04 bdl,0.04 bdl,0.02 bdl,0.01 bdl,0.01 bdl,0.00 bdl,0.00 bdl,0.04 bdl,0.00 bdl,0.06 bdl,0.21 bdl,0.01 bdl,0.00 bdl,0.17 bdl,0.02 bdl,0.35 bdl,0.28 bdl,0.07 bdl,0.07 bdl,0.01 bdl,0.02 bdl,0.04 bdl,0.00 bdl
17,SE13_P1,Wet Center,7/14/25,11:59:00 PM,RV,Precipitation,Precipitation,"Storm #13. First half of storm. Rain sample collected from 2:31pm-5:23PM. I put the time as 4:00PM because that's the middle point.  We collected exactly 500mL of rain in those 3 hours in the euro collector, which equals 1.38 inches of rain. This was a rapid, flash flood storm, and in this short amount of time, the WET stream gage went up about 1.5 feet.",41.58,506.30,464.72,,Yes,1971,-35.05,-5.64,-2.91,11/08/25,RV_PFAS_11132025,0.006,0.296,0.029,0.498,0.071,0.272,0.009,0.002,0.004,0.39,0.097,0.081,0.23,0.065,0.11,0.116,0.203,0.903,0.057,0.085,0.185,0.011,0.01,0.003,0.432,0.004,0.682,0.269,0.011,0.661,0.223,0.007,0.704,0.393,0.142,0.474,0.034,0.137,0.224,0.068
18,SE13_1,Wet Center,7/14/25,5:00:00 PM,RV,Stream,Stream_Storm,Storm #13. Sample 1 Intense rainfall and flash flood warning,42.00,536.20,494.20,,Yes,2165,-43.8105,-7.037331,-3.266076,11/08/25,RV_PFAS_11132025,0.015,0.372,0.043,0.558,0.148,0.422,0.073,0.011,0.008,0.164,0.249,0.241,0.612,0.064,0.278,0.125,0.599,3.797,1.77,0.474,0.154,0.027,0.04,0.013,2.374,0.085,5.032,1.013,0.008,0.015,1.524,0.024,5.368,3.804,1.598,4.556,0.077,0.065,0.049,0.19
19,SE13_3,Wet Center,7/14/25,9:00:00 PM,RV,Stream,Stream_Storm,Storm #13. Sample 3,41.30,541.30,500.00,,Yes,2167,-40.600297,-6.668405,-3.033044,10/7/25,MillRiver_PFAS_10092025,0.001 bdl,0.110 bdl,0.045 bdl,0.463 bdl,1.841,1.021 bdl,0.033 bdl,0.008 bdl,0.014 bdl,0.109 bdl,0.163 bdl,0.227,0.273 bdl,0.049 bdl,0.186 bdl,0.176,0.339 bdl,4.341,2.277,0.442,0.103 bdl,0.002 bdl,0.042 bdl,0.006 bdl,2.206,0.198,5.021,1.094,0.015 bdl,0.071 bdl,1.347,0.032 bdl,4.596,3.169,1.032,4.615,0.241,0.066 bdl,0.072 bdl,0.245
