Sample Name on LC/MS,Name,Date,Time,Latitude,Longitude,PFAS40,11Cl-PF3OUdS Results,3-3 FTCA Results,4:2FTS Results,5-3 FTCA Results,6:2FTS Results,7-3 FTCA Results,8:2FTS Results,9Cl-PF3ONS Results,ADONA Results,HFPO-DA Results,NEtFOSA Results,NEtFOSAA Results,NEtFOSE Results,NFDHA Results,NMeFOSA Results,NMeFOSAA Results,NMeFOSE Results,PFBA Results,PFBS Results,PFDA Results,PFDoA Results,PFDoS Results,PFDS Results,PFEESA Results,PFHpA Results,PFHpS Results,PFHxA Results,PFHxS Results,PFMBA Results,PFMPA Results,PFNA Results,PFNS Results,PFOA Results,PFOS Results,PFOSA Results,PFPeA Results,PFPeS Results,PFTeDA Results,PFTrDA Results,PFUnA Results
S3_14,UMass Farm,3/28/2026,9:39 AM,42.40006065,-72.52586341,16.17,0.01,0.05,0,0.31,0.16,0.28,0.03,0,0.01,0.13,0.2,0.19,0.42,0.13,0.21,0.34,0.39,0.68,3.18,0.11,0.05,0,0.01,0.01,0.7,0.1,1.24,1.04,0.03,0.01,0.48,0,2.28,1.64,0.18,1.24,0.15,0.04,0.08,0.06
S3_15,Brandywine Pond,3/28/2026,9:51 AM,42.40714059,-72.53430926,12.18,0.01,0.04,0,0.06,0.07,0.3,0.01,0.01,0,0.05,0.16,0.15,0.24,0.06,0.14,0.43,0.29,0.33,2.14,0.06,0.03,0,0.01,0.01,0.53,0.06,0.88,0.83,0,0,0.42,0,1.82,1.63,0.15,1.03,0.16,0.02,0.04,0.01
S3_16,MR Julius Bridge,3/28/2026,10:08 AM,42.41187575,-72.52499941,10.65,0.01,0.08,0,0.79,0.06,0.5,0.01,0,0.01,0.1,0.41,0.16,0.58,0.04,0.32,0.37,0.48,2.02,0.46,0.08,0.02,0,0.02,0,0.35,0.03,0.27,0.53,0,0.01,0.51,0.02,1.04,0.86,0.08,0.27,0.07,0.02,0.04,0.03
S3_17,Puffers Waterfall,3/28/2026,10:32 AM,42.41564544,-72.51967145,8.5,0.01,0.13,0,0.48,0.09,0.74,0.02,0,0,0.07,0.3,0.12,0.38,0.09,0.26,0.29,0.38,0.45,0.4,0.13,0.05,0.02,0.02,0,0.28,0.07,0.27,0.43,0,0.01,0.46,0.02,1.07,0.87,0.06,0.38,0.06,0.01,0.07,0.01
S3_18,Puffers Pond Beach,3/28/2026,10:42 AM,42.41638062,-72.51732855,7.79,0,0.03,0,0.13,0.06,0.45,0.02,0.01,0,0.05,0.29,0.12,0.39,0.04,0.23,0.32,0.37,0.74,0.34,0.12,0.01,0,0,0.01,0.47,0.03,0.32,0.41,0,0.01,0.36,0.01,1.04,0.88,0.07,0.34,0.05,0.03,0.02,0.02
S3_19,Puffers Railroad,3/28/2026,10:56 AM,42.41677516,-72.50992635,7.7,0,0.06,0,0.12,0.05,0.66,0.01,0.01,0.01,0.03,0.39,0.12,0.42,0.09,0.29,0.37,0.47,0.38,0.3,0.1,0.04,0.01,0,0,0.28,0.03,0.29,0.36,0.01,0,0.37,0.01,1.22,0.73,0.08,0.28,0.03,0.02,0.02,0.04
S3_20,Haskins Meadows,3/28/2026,12:05 PM,42.42911639,-72.49447176,6.7,0,0,0,0.23,0.06,0.29,0.03,0.01,0,0.04,0.17,0.08,0.23,0.05,0.12,0.4,0.19,0.47,0.31,0.04,0.01,0.01,0.03,0.02,0.3,0,0.31,0.5,0.01,0.02,0.41,0.03,1.18,0.69,0.07,0.29,0.02,0.03,0.02,0.03
S3_21,Haskins Meadows Up,3/28/2026,12:15 PM,42.43065505,-72.49136483,7.55,0,0.01,0,0.15,0.05,0.48,0.01,0.01,0,0.05,0.26,0.12,0.37,0.07,0.21,0.38,0.31,0.53,0.37,0.03,0.01,0.01,0.02,0.01,0.37,0.05,0.34,0.41,0.01,0.01,0.43,0.02,1.02,0.82,0.12,0.32,0.05,0.03,0.06,0.03
S3_22,Atkins Reservoir,3/28/2026,12:33 PM,42.42021609,-72.48280264,7.3,0,0.1,0,0.46,0.05,0.09,0,0.01,0,0.07,0.36,0.13,0.41,0.07,0.28,0.4,0.42,0.37,0.13,0.05,0.01,0,0,0,0.27,0.03,0.26,0.35,0,0.01,0.41,0.02,0.89,1.09,0.11,0.35,0.04,0.01,0.02,0.03
S3_23,Dean Brook,3/28/2026,12:44 PM,42.41729444,-72.4718493,6.06,0,0.07,0,0.56,0.04,0.07,0.04,0,0,0.06,0.3,0.13,0.39,0.05,0.23,0.28,0.31,0.19,0.11,0.09,0.02,0.01,0.01,0.01,0.15,0.01,0.11,0.34,0.01,0,0.39,0,0.82,0.9,0.08,0.13,0.05,0.04,0.03,0.03
S3_24,Nurse Brook,3/28/2026,12:56 PM,42.42366889,-72.46621738,5.63,0,0,0,0.33,0.07,0.11,0.03,0,0,0.08,0.31,0.26,0.45,0.06,0.3,0.48,0.39,0.1,0.02,0.05,0.03,0,0,0.01,0.13,0.04,0.06,0.32,0.01,0.01,0.42,0.01,0.6,0.71,0.09,0.03,0.03,0.02,0.03,0.04
S3_25,Shutesbury Cemetery,3/28/2026,1:17 PM,42.45460375,-72.4273258,7.55,0,0.08,0,0.49,0.14,0.42,0.01,0.01,0,0.08,0.41,0.14,0.5,0.05,0.34,0.53,0.41,0.22,0.21,0.04,0.02,0,0.02,0.01,0.12,0.03,0.26,0.33,0,0.01,0.49,0.02,0.83,0.97,0.08,0.14,0.01,0.01,0.06,0.06
S3_26,Broad Hill,3/28/2026,1:30 PM,42.44927212,-72.46633812,5.62,0.01,0,0,0.42,0.06,0.11,0.06,0,0.01,0.05,0.35,0.14,0.33,0.07,0.23,0.44,0.3,0.14,0.11,0.04,0.02,0,0.01,0,0.17,0.01,0.23,0.3,0,0.01,0.36,0,0.62,0.68,0.07,0.17,0.03,0.03,0.01,0.03
S3_27,Number 6 Rd,3/28/2026,1:41 PM,42.44883338,-72.46818919,10.68,0,0.07,0,0.32,0.13,1.17,0.06,0,0.62,0.05,0.28,0.19,0.34,0.07,0.19,0.4,0.27,0.04,0.27,0.1,0.01,0,0.01,0.01,0.59,0.01,1.01,0.33,0,0.03,0.45,0.01,1.84,0.72,0.08,0.93,0.02,0.03,0.01,0.02
S3_28,Leverett Library,3/28/2026,2:00 PM,42.46221151,-72.49598796,7.47,0,0.09,0,0.41,0.09,0.04,0,0,0,0.09,0.29,0.21,0.39,0.07,0.22,0.31,0.27,0.34,0.58,0.02,0.03,0,0,0,0.2,0.03,0.54,0.45,0,0,0.27,0.01,0.83,0.91,0.25,0.38,0.03,0.01,0.08,0.03
S3_29,Leverett Pond,3/28/2026,2:25 PM,42.46254473,-72.50497745,7.57,0,0.03,0,0.12,0.08,0.1,0.03,0,0,0.05,0.24,0.06,0.17,0.07,0.09,0.17,0.13,0.79,0.35,0.08,0.01,0.01,0.02,0,0.41,0.06,0.34,0.3,0.01,0.01,0.27,0.01,1.27,0.82,0.99,0.34,0.04,0.04,0.01,0.05
S3_30,MR Montague Bridge,3/28/2026,2:42 PM,42.41184556,-72.52983005,7.76,0,0,0,0.43,0.13,0.21,0.01,0,0,0.09,0.22,0.05,0.26,0.08,0.15,0.33,0.22,0.75,0.31,0.03,0.02,0,0,0.01,0.39,0.01,0.3,0.44,0.01,0.01,0.4,0.01,1.1,0.91,0.34,0.42,0.03,0.02,0.04,0.03
S3_31,Lake Warner Trail,3/28/2026,3:17 PM,42.39478204,-72.56685319,43.47,0.01,0,0,0.29,0.85,0.28,0.03,0,0,0.08,0.35,0.36,0.93,0.1,0.57,0.6,0.83,3.03,2.03,0.16,0.05,0.03,0.05,0.01,3.64,0.05,6.58,1.1,0.01,0.02,0.86,0.03,8.3,2.18,3.62,5.92,0.07,0.09,0.27,0.09
S3_32,Prindle School,3/28/2026,3:38 PM,42.36442722,-72.54042208,24.48,0,0.57,0,0.53,0.11,0.51,0.03,0,0.01,0.2,0.25,0.2,0.33,0.07,0.2,0.39,0.26,3.06,3.05,0.16,0.01,0.12,0.01,0,0.79,0.23,2.13,1.43,0.03,0.02,0.81,0.03,2.55,2.54,1.38,1.73,0.65,0.03,0.02,0.04
