Mark,PFBA Results,PFMPA Results,3-3 FTCA Results,PFPeA Results,PFMBA Results,4:2FTS Results,NFDHA Results,PFHxA Results,PFBS Results,HFPO-DA Results,PFEESA Results,5-3 FTCA Results,PFHpA Results,PFPeS Results,ADONA Results,6:2FTS Results,PFOA Results,PFHxS Results,PFNA Results,PFHpS Results,7-3 FTCA Results,8:2FTS Results,PFDA Results,PFOS Results,NMeFOSAA Results,PFUnA Results,NEtFOSAA Results,9Cl-PF3ONS Results,PFNS Results,PFDoA Results,PFDS Results,PFTrDA Results,11Cl-PF3OUdS Results,PFTeDA Results,PFDoS Results,PFOSA Results,NMeFOSE Results,NMeFOSA Results,NEtFOSE Results,NEtFOSA Results
Lowest Calibrator,7.6,3.75,7.86,4.06,3.69,7.58,3.97,1.74,1.67,7.7,3.58,49.18,1.69,1.67,7.58,7.42,1.98,1.88,2.3,1.79,44.98,7.25,1.81,2.25,1.88,1.77,1.82,7.33,1.84,1.82,1.79,1.73,7.68,1.83,1.83,1.81,19.56,2.02,19.36,0.71
Average Blank,0.112,0.007,0.063,0.116,0.01,0.04,0.058,0.036,0.011,0.037,0.002,0.183,0.053,0.007,0.005,0.033,0.346,0.227,0.364,0.014,0.255,0.019,0.042,0.336,0.183,0.025,0.174,0.012,0.008,0.03,0.007,0.036,0.005,0.023,0.004,0.045,0.171,0.127,0.197,0.142
