Sample #,Sample Name on LC/MS,Location,Date,Time,Collecter,Type,Project,Comment,Container Mass (g),Total mass (g),Sample Mass (g),TOC/IC sample collected?,PFAS Collected?,TOC/TN analyzed,IC analyzed,UV254 analyzed,PFAS Analyzed?,Isotope #,Delta 2H,Delta 18O,Delta 17O,Ran on Auto SPE,Corresponding Table,11Cl-PF3OUdS Results,3-3 FTCA Results,4:2FTS Results,5-3 FTCA Results,6:2FTS Results,7-3 FTCA Results,8:2FTS Results,9Cl-PF3ONS Results,ADONA Results,HFPO-DA Results,NEtFOSA Results,NEtFOSAA Results,NEtFOSE Results,NFDHA Results,NMeFOSA Results,NMeFOSAA Results,NMeFOSE Results,PFBA Results,PFBS Results,PFDA Results,PFDoA Results,PFDoS Results,PFDS Results,PFEESA Results,PFHpA Results,PFHpS Results,PFHxA Results,PFHxS Results,PFMBA Results,PFMPA Results,PFNA Results,PFNS Results,PFOA Results,PFOS Results,PFOSA Results,PFPeA Results,PFPeS Results,PFTeDA Results,PFTrDA Results,PFUnA Results
49,,Wet Center UP,9/26/2025,5:58 AM,RV,Stream,Baseflow,Samples collected post-Storm 14.,,,,,Yes,,,,,2152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,WC_7,Wet Center,10/8/2025,11:06:00 AM,"RV, KW",Stream,Baseflow,Took sample after it rained ~0.5in from 5am-10am,41.4,543.1,501.7,Yes,Yes,Yes but with too small of a filter - only TN,no more sample,no more sample,,2189,,,,6/1/2026,RV_PFAS_07082026,0.00 bdl,0.55 bdl,0.00 bdl,0.59 bdl,0.41 bdl,0.04 bdl,0.05 bdl,0.00 bdl,0.01 bdl,0.11 bdl,0.34 bdl,0.39 bdl,0.84 bdl,0.07 bdl,0.57 bdl,0.25 bdl,1.17 bdl,0.93 bdl,2.39,0.32 bdl,0.06 bdl,0.01 bdl,0.04 bdl,0.01 bdl,2.91,0.13 bdl,8.01,1.26,0.00 bdl,0.00 bdl,0.82 bdl,0.00 bdl,4.81,2.65,13.15,5.99,0.20 bdl,0.16 bdl,0.08 bdl,0.10 bdl
51,WCU_2,Wet Center UP,10/8/2025,11:14:00 AM,"RV, KW",Stream,Baseflow,Took sample after it rained ~0.5in from 5am-10am. Murky water being released from undocumented pipe discharging into stream,41.66,549.9,508.24,Yes,Yes,Yes but with too small of a filter - only TN,no more sample,no more sample,,2190,,,,6/23/2026,RV_PFAS_07082026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,BF_1010,Wet Center,10/10/2025,8:39 AM,"RV, KW, NA",Stream,Baseflow,"Rained two days prior, really cold outside (~33 deg F)",41.5,552.4,510.9,Yes,Yes,Yes but with too small of a filter - only TN,no more sample,no more sample,Yes,2191,,,,11/14/2025,RV_PFAS_11132025,0.001,0.112,0.09,0.482,2.57,0.199,0.046,0.015,0.002,0.015,0.192,0.141,0.296,0.048,0.175,0.113,0.192,2.352,1.565,0.067,0.04,0,0.019,0.008,1.664,0.069,4.27,1.057,0.007,0.008,0.736,0.027,3.641,1.841,0.184,3.744,0.196,0.101,0.044,0.063
53,BF_UP_1010,Wet Center UP,10/10/2025,8:48 AM,"RV, KW, NA",Stream,Baseflow,"Rained two days prior, really cold outside (~33 deg F)",42.1,545.4,503.3,Yes,Yes,Yes but with too small of a filter - only TN,no more sample,no more sample,Yes,2192,,,,11/14/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,S1_1,Wet Center,10/11/2025,8:53 AM,"RV, XG",Stream,Spatial,1,41.5,559.1,517.6,,Yes,,,,Yes,2194,-48.98789,-7.505433,-3.611322,11/14/2025,RV_PFAS_11132025,0.013,0.017,0.149,0.798,2.309,0.142,0.02,0.01,0.003,0.068,0.172,0.131,0.206,0.068,0.164,0.1,0.193,2.544,1.628,0.095,0.095,0.002,0.01,0.006,2.118,0.093,4.88,1.081,0.008,0.01,1.047,0.015,4.664,2.09,0.321,4.335,0.157,0.036,0.045,0.019
55,S1_2,MR Rec Area (picnic tables),10/11/2025,9:55 AM,"RV, XG",Stream,Spatial,2,41.2,560.7,519.5,,Yes,,,,Yes,2198,-48.910681,-7.794977,-3.662333,11/16/2025,RV_PFAS_11132025,0.004,0.115,0.032,0.176,0.03,0.214,0.015,0.013,0.002,0.024,0.188,0.15,0.203,0.043,0.161,0.09,0.208,0.068,1.117,0.042,0.087,0.049,0.008,0.001,0.472,0.026,0.604,0.661,0.03,0.011,0.672,0.021,1.652,1.286,0.333,0.505,0.053,0.031,0.016,0.018
56,S1_3,Puffers Waterfall,10/11/2025,10:38 AM,"RV, XG",Stream,Spatial,3,41.8,560,518.2,,Yes,,,,Yes,2202,-48.366421,-7.958838,-3.760248,11/16/2025,RV_PFAS_11132025,0.008,0.071,0.033,0,0.015,0.111,0.021,0.007,0.004,0.1,0.241,0.122,0.195,0.061,0.192,0.135,0.218,0.097,0.576,0.011,0.045,0.008,0.016,0.022,0.57,0.046,0.584,0.492,0.009,0.007,0.711,0.009,1.443,1.079,0.541,0.487,0.065,0.021,0.027,0.053
57,S1_4,Puffers Beach,10/11/2025,10:46 AM,"RV, XG",Stream,Spatial,4,41.8,540.1,498.3,,Yes,,,,Yes,2203,-50.252468,-8.253205,-3.975413,11/16/2025,RV_PFAS_11132025,0.009,0.074,0.076,0.313,0.012,0.211,0,0.021,0.002,0.04,0.229,0.136,0.257,0.08,0.205,0.101,0.226,0.61,0.559,0.064,0.054,0,0,0.008,0.342,0.057,0.435,0.432,0.001,0.015,0.696,0.028,1.327,0.776,0.259,0.276,0.031,0.06,0.035,0.01
58,S1_5,Upper puffers - Railroad,10/11/2025,10:59 AM,"RV, XG",Stream,Spatial,5,41.1,551.3,510.2,,Yes,,,,Yes,2205,-50.455181,-8.266131,-3.952553,11/16/2025,RV_PFAS_11132025,0.009,0.09,0.061,0.425,0.019,0.375,0.069,0.006,0.003,0.035,0.356,0.133,0.3,0.058,0.233,0.106,0.261,0.124,0.348,0.029,0.106,0,0,0.009,0.233,0.022,0.337,0.442,0.004,0,0.791,0.016,1.591,0.926,0.303,0.317,0.037,0.053,0.077,0.009
59,S1_6,Haskin Meadows (fishing spot),10/11/2025,11:57 AM,"RV, XG",Stream,Spatial,6,41.3,561.1,519.8,,Yes,,,,Yes,2206,-51.252082,-8.353361,-4.063671,11/16/2025,RV_PFAS_11132025,0.002,0.041,0.034,0.141,0.038,0.264,0.048,0.018,0.003,0.048,0.209,0.15,0.216,0.046,0.182,0.124,0.234,0.574,0.364,0.044,0.076,0,0.003,0.002,0.338,0.019,0.345,0.554,0.003,0.016,0.556,0,1.503,0.803,0.371,0.311,0.066,0.024,0.004,0.016
60,S1_7,Atkins Reservoir,10/11/2025,12:19 PM,"RV, XG",Stream,Spatial,7,41.5,558.2,516.7,,Yes,,,,Yes,2208,-40.325465,-5.954212,-2.672796,11/24/2025,RV_PFAS_11132025,0,0.054,0.022,0.436,0.103,0.154,0.026,0.005,0.004,0.121,0.127,0.11,0.223,0.073,0.174,0.379,0.215,0.654,0.187,0.177,0.705,0.022,0.124,0.003,0.356,0.011,0.373,0.353,0.003,0.004,0.415,0.024,1.148,1.142,1.115,0.404,0.02,0.074,0.372,1.582
61,S1_8,Roaring,10/11/2025,12:18 PM,"RV, XG",Stream,Spatial,8,41.7,560.3,518.6,,Yes,,,,Yes,2209,-53.08,-8.8,-4.32,11/24/2025,RV_PFAS_11132025,0,0.113,0.05,0.125,0.062,0.518,0.007,0.009,0.008,0.027,0.142,0.125,0.19,0.057,0.179,0.27,0.171,0.428,0.198,0.011,0.008,0.006,0.008,0.004,0.165,0.013,0.273,0.409,0.008,0.008,0.31,0.01,0.808,0.738,0.15,0.28,0.026,0.014,0.03,0.028
62,S1_9,Broad Hil,10/11/2025,12:36 PM,"RV, XG",Stream,Spatial,9,41.8,554.3,512.5,,Yes,,,,Yes,2210,-51.73,-8.62,-4.27,11/24/2025,RV_PFAS_11132025,0.007,0.05,0.022,0.288,0.067,0.74,0.011,0.004,0.002,0.017,0.218,0.162,0.262,0.063,0.207,0.473,0.26,0.518,0.167,0.017,0.018,0.007,0.005,0.005,0.187,0.022,0.295,0.333,0.004,0.006,0.376,0.019,1.123,0.735,0.144,0.399,0.047,0.017,0.012,0.009
63,S1_10,Shutesbury Cemetary,10/11/2025,12:48 PM,"RV, XG",Stream,Spatial,10,42,559.4,517.4,,Yes,,,,Yes,2211,-48.17,-8.17,-3.97,11/24/2025,RV_PFAS_11132025,0.001,0.061,0.031,0.666,0.058,0.607,0.022,0.005,0.006,0.07,0.187,0.152,0.271,0.044,0.204,0.399,0.23,0.254,0.486,0.178,0.022,0.001,0.021,0.004,0.6,0.053,0.728,0.521,0.007,0.011,0.592,0,2.294,1.575,0.891,1.195,0.056,0.017,0.011,0.057
64,S1_11,Doolittle,10/11/2025,1:10 PM,"RV, XG",Stream,Spatial,11,41.4,550.4,509,,Yes,,,,Yes,2212,-49.96,-7.75,-3.69,11/24/2025,RV_PFAS_11132025,0.009,0,0.047,0.585,0.043,0.253,0.018,0.001,0.004,0.044,0.137,0.122,0.179,0.047,0.141,0.306,0.142,1.502,0.686,0.09,0.056,0,0.01,0.001,0.522,0.004,1.463,0.442,0.016,0.014,0.674,0.008,1.93,1.518,0.3,1.518,0.063,0.009,0.032,0.063
65,S1_12,Leverett Library,10/11/2025,1:22 PM,"RV, XG",Stream,Spatial,12,41.1,559.6,518.5,,Yes,,,,Yes,2213,-52.79,-8.4,-4.05,11/24/2025,RV_PFAS_11132025,0.001,0.067,0.046,0.166,0.014,0.277,0.035,0.003,0.004,0.037,0.08,0.137,0.134,0.083,0.107,0.386,0.133,0.713,0.439,0.018,0.018,0.005,0.013,0.005,0.429,0.008,1.128,0.316,0.006,0.006,0.44,0.007,1.35,1.298,0.204,1.107,0.041,0.013,0.011,0.033
66,S1_13,Leverett Pond,10/11/2025,1:44 PM,"RV, XG",Stream,Spatial,13,41.7,558.2,516.5,,Yes,,,,Yes,2214,-24.9,-2.52,-0.79,11/24/2025,RV_PFAS_11132025,0.003,0.063,0.028,0.5,0.021,0.188,0.012,0.004,0.008,0.102,0.185,0.129,0.247,0.075,0.197,0.28,0.22,2.216,1.085,0.14,0.043,0.016,0.056,0.003,1.367,0.133,1.201,0.947,0.008,0.012,0.652,0.01,3.52,2.076,0.432,1.41,0.124,0.007,0.022,0.128
67,S1_14,Eastman Up,10/11/2025,1:55 PM,"RV, XG",Stream,Spatial,14,41.3,560.6,519.3,,Yes,,,,Yes,2215,-47.7,-7.48,-3.52,11/24/2025,RV_PFAS_11132025,0,0,0.103,0.187,0.042,0.366,0.041,0.001,0.002,0.065,0.184,0.121,0.261,0.074,0.2,0.38,0.224,0.732,0.52,0.032,0.01,0.007,0.002,0.01,0.229,0.014,0.19,0.452,0.012,0.004,0.341,0.007,0.869,0.919,0.794,0.238,0.081,0.009,0.007,0.021
68,S1_15,LW Boat Ramp,10/11/2025,2:27 PM,"RV, XG",Stream,Spatial,15,41.5,563.7,522.2,,Yes,,,,Yes,2219,-41.366062,-6.750631,-3.134985,11/24/2025,RV_PFAS_11132025,0.003,0.385,0.063,0.346,0.109,0.629,0.012,0,0.004,0.051,0.146,0.151,0.187,0.05,0.133,0.39,0.148,3.529,2.813,0.098,0.02,0.005,0.025,0.009,3.664,0.055,7.533,0.74,0.011,0.007,0.665,0.011,8.582,1.853,0.324,6.6,0.109,0.013,0.02,0.028
69,S1_16,Prindle School,10/11/2025,2:51 PM,"RV, XG",Stream,Spatial,16,41.7,550.1,508.4,,Yes,,,,Yes,2221,-35.65,-6,-2.79,11/16/2025,RV_PFAS_11132025,0.005,2.852,0.06,0.268,0.067,0.365,0.032,0.006,0.006,0.132,0.248,0.323,0.376,0.052,0.223,0.235,0.315,6.603,13.566,0.479,0.046,0.007,0.062,0.011,1.524,0.435,3.282,2.914,0.13,0.039,1.846,0.112,5.068,5.155,1.513,4.374,0.391,0.027,0.031,0.089
70,S1_17,Horse Farm Down,10/11/2025,3:07 PM,"RV, XG",Stream,Spatial,17,42,540.7,498.7,,Yes,,,,Yes,2222,-31.85,-5.29,-2.37,11/24/2025,RV_PFAS_11132025,0.004,0.183,0.041,0.652,0.025,0.513,0.031,0.013,0.002,0.112,0.197,0.09,0.23,0.056,0.161,0.23,0.189,3.878,12.842,0.232,0.029,0.001,0.035,0.026,1.132,0.204,2.786,1.334,0.019,0.009,0.71,0.005,2.999,2.422,1.785,2.949,0.127,0.014,0.015,0.13
71,S1_18,Fieldstone,10/11/2025,3:29 PM,"RV, XG",Stream,Spatial,18,42,536.9,494.9,,Yes,,,,Yes,2225,-50.28,-7.98,-3.94,11/24/2025,This sample was lost. Sediment clogged the SPE line.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,S1_19,Wildwood Cemetary,10/11/2025,3:39 PM,"RV, XG",Stream,Spatial,19,41.6,,-41.6,,Yes,,,,Yes,2226,-17.14,-1.51,-0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,S1_20,Campus Pond Down,10/11/2025,3:51 PM,"RV, XG",Stream,Spatial,20,41.4,,-41.4,,Yes,,,,Yes,2228,-41.630391,-6.582862,-3.132073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,SE15_P1,Wet Center,10/12/2025,11:59 PM,RV,Precipitation,Stream_Storm,"Storm 15 Precip. Received ~0.7"". 0.28"" on 10/12 and 0.42"" on 10/13.",41.58,542.7,501.12,,Yes,Yes - all 1-24,Yes evens (so NOT the ones that are PFAs),Yes evens (so NOT the ones that are PFAs),Yes,2291,-60.504758,-9.406446,-4.415,,RV_PFAS_11132025,0.01,0.095,0.037,7.189,0.236,1.297,0.042,0.023,0.002,0.092,0.084,0.091,0.214,0.102,0.144,0.067,0.255,7.95,0.089,0.174,0.022,0.008,0.024,0.006,2.995,0.013,37.785,0.419,0.021,0.025,1.53,0.002,1.141,0.463,0.069,8.184,0.051,0.055,0.036,0.07
75,SE15_1,Wet Center,10/12/2025,12:15 PM,RV,Stream,Stream_Storm,Storm 15. Sample #1,41.3,550.5,509.2,,Yes,Yes,Yes evens (so NOT the ones that are PFAs),Yes evens (so NOT the ones that are PFAs),Yes,2229,-50.22,-8.01,-3.86,,RV_PFAS_11132025,0.022,0.147,0.093,0.455,2.253,0.38,0.058,0.004,0,0.034,0.164,0.113,0.211,0.079,0.123,0.113,0.203,2.365,1.29,0.047,0.115,0,0.008,0.001,1.932,0.031,4.373,0.966,0.006,0.013,1.026,0.012,3.841,1.852,0.256,3.867,0.116,0.053,0.023,0.016
76,SE15_3,Wet Center,10/12/2025,6:15 PM,RV,Stream,Stream_Storm,Storm 15. Sample #3,41.1,529.2,488.1,,Yes,Yes,Yes evens (so NOT the ones that are PFAs),Yes evens (so NOT the ones that are PFAs),Yes,2231,-48.89,-7.79,-3.75,,RV_PFAS_11132025,0.005,0.251,0.084,1.065,2.838,0.358,0.029,0.006,0.01,0.091,0.286,0.248,0.558,0.076,0.371,0.212,0.451,2.823,1.571,0.098,0.032,0.017,0.015,0.016,2.107,0.056,4.931,1.057,0.004,0.027,0.954,0.005,4.071,2.316,0.186,4.103,0.136,0.065,0.017,0.03
77,SE15_5,Wet Center,10/13/2025,12:15 AM,RV,Stream,Stream_Storm,Storm 15. Sample #5,41.3,545.1,503.8,,Yes,Yes,Yes evens (so NOT the ones that are PFAs),Yes evens (so NOT the ones that are PFAs),Yes,2233,-45.11,-7.37,-3.41,,RV_PFAS_11132025,0.011,0.653,0.071,1.102,2.837,1.069,0.017,0.036,0.015,0.032,0.174,0.281,0.391,0.071,0.203,0.12,0.359,5.754,1.698,0.348,0.142,0.016,0.034,0.007,2.199,0.046,6.706,1.514,0,0.022,1.446,0.089,4.307,2.999,0.234,4.725,0.166,0.031,0.01,0.109
78,SE15_7,Wet Center,10/13/2025,6:15 AM,RV,Stream,Stream_Storm,Storm 15. Sample #7,41.9,527.9,486,,Yes,Yes,Yes evens (so NOT the ones that are PFAs),Yes evens (so NOT the ones that are PFAs),Yes,2235,-50.15,-7.8,-3.78,,RV_PFAS_11132025,0.01,0.326,0.078,1.292,0.82,0.694,0.009,0.011,0.003,0.102,0.126,0.255,0.248,0.053,0.138,0.117,0.273,5.139,2.755,0.256,0.111,0.014,0.038,0.007,2.131,0.097,5.947,1.512,0.011,0.022,1.557,0.061,6.213,3.647,0.45,5.036,0.149,0.027,0.078,0.119
79,SE15_9,Wet Center,10/13/2025,12:15 PM,RV,Stream,Stream_Storm,Storm 15. Sample #9,42,528.5,486.5,,Yes,Yes,Yes evens (so NOT the ones that are PFAs),Yes evens (so NOT the ones that are PFAs),Yes,2237,-49.65,-7.82,-3.77,,RV_PFAS_11132025,0.004,0.124,0.067,0.596,0.877,1.447,0.018,0.025,0.034,0.137,0.212,0.176,0.343,0.071,0.244,0.146,0.411,3.205,1.725,0.169,0.061,0.002,0.03,0.002,1.484,0.088,3.192,1.008,0.006,0.01,1.477,0.024,3.774,2.497,0.311,3.264,0.183,0.033,0.037,0.047
80,SE15_11,Wet Center,10/13/2025,6:15 PM,RV,Stream,Stream_Storm,Storm 15. Sample #11,41.4,547.3,505.9,,Yes,Yes,Yes evens (so NOT the ones that are PFAs),Yes evens (so NOT the ones that are PFAs),Yes,2239,-50.22,-7.96,-3.85,,RV_PFAS_11132025,0.012,0.391,0.041,0.651,0.747,0.752,0.015,0.008,0.001,0.062,0.137,0.096,0.218,0.053,0.131,0.066,0.225,1.875,1.117,0.097,0.077,0,0.01,0.003,1.046,0.023,2.136,0.799,0.009,0.006,1.226,0.029,2.471,1.659,0.25,1.754,0.108,0.066,0.038,0.033
81,SE15_13,Wet Center,10/14/2025,12:15 AM,RV,Stream,Stream_Storm,Storm 15. Sample #13,41.5,535,493.5,,Yes,Yes,Yes evens (so NOT the ones that are PFAs),Yes evens (so NOT the ones that are PFAs),Yes,2241,-49.61,-7.86,-3.85,,RV_PFAS_11132025,0.015,0.147,0.072,0.162,0.779,0.294,0.024,0.016,0,0.044,0.341,0.191,0.442,0.067,0.258,0.131,0.426,1.746,0.894,0.089,0.117,0.028,0.017,0.005,1.082,0.036,2.16,0.728,0.005,0.019,2.119,0.021,2.537,1.693,0.183,1.737,0.084,0.096,0.057,0.05
82,SE15_15,Wet Center,10/14/2025,6:15 AM,RV,Stream,Stream_Storm,Storm 15. Sample #15,41.1,542.1,501,,Yes,Yes,Yes evens (so NOT the ones that are PFAs),Yes evens (so NOT the ones that are PFAs),Yes,2243,-50.12,-7.93,-3.85,,RV_PFAS_11132025,0.005,0.062,0.078,0.254,0.878,0.37,0.018,0.021,0.004,0.032,0.18,0.14,0.304,0.061,0.171,0.099,0.289,1.669,1.02,0.036,0.066,0.007,0,0.012,0.967,0.071,1.965,0.75,0.001,0.023,1.031,0.012,2.881,1.642,0.217,1.807,0.059,0.022,0.043,0.04
83,SE15_17,Wet Center,10/14/2025,12:15 PM,RV,Stream,Stream_Storm,Storm 15. Sample #17,42,543.5,501.5,,Yes,Yes,Yes evens (so NOT the ones that are PFAs),Yes evens (so NOT the ones that are PFAs),Yes,2245,-48.01,-7.79,-3.73,,RV_PFAS_11132025,0.009,0.111,0.056,0.554,1.078,0.77,0.029,0.011,0.005,0.042,0.206,0.147,0.214,0.081,0.138,0.079,0.234,1.836,1.137,0.067,0.109,0.022,0.009,0.001,1.097,0.053,2.491,0.819,0.014,0.011,0.95,0.005,2.872,1.716,0.229,2.328,0.123,0.02,0.08,0.041
84,SE15_19,Wet Center,10/14/2025,6:15 PM,RV,Stream,Stream_Storm,Storm 15. Sample #19,42.1,543.4,501.3,,Yes,Yes,Yes evens (so NOT the ones that are PFAs),Yes evens (so NOT the ones that are PFAs),Yes,2247,-50.29,-8.08,-3.89,,RV_PFAS_11132025,0.011,0.137,0.07,0.216,1.103,0.368,0.041,0.017,0.002,0.062,0.274,0.112,0.26,0.075,0.176,0.123,0.28,1.732,1.161,0.106,0.057,0.011,0.018,0.009,1.21,0.062,2.897,0.829,0.007,0.021,0.751,0.029,2.723,1.601,0.268,2.306,0.05,0.068,0.011,0.019
85,SE15_21,Wet Center,10/15/2025,12:15 AM,RV,Stream,Stream_Storm,Storm 15. Sample #21,41.2,554,512.8,,Yes,Yes,Yes evens (so NOT the ones that are PFAs),Yes evens (so NOT the ones that are PFAs),Yes,2249,-50.3,-8.11,-3.95,11/14/2025,RV_PFAS_11132025,0.005,0.027,0.062,0.175,1.049,0.366,0.015,0.008,0.009,0.061,0.134,0.114,0.324,0.075,0.121,0.079,0.196,1.851,1.443,0.087,0.082,0,0.044,0.001,1.274,0,3.007,0.75,0.011,0.007,1.097,0.029,3.027,1.889,0.317,2.44,0.115,0.03,0.142,0.013
86,SE15_23,Wet Center,10/15/2025,6:15 AM,RV,Stream,Stream_Storm,Storm 15. Sample #23,42.2,541.8,499.6,,Yes,Yes,Yes evens (so NOT the ones that are PFAs),Yes evens (so NOT the ones that are PFAs),Yes,2251,-50.02,-8.08,-3.73,11/14/2025,RV_PFAS_11132025,0.006,0,0.135,0.506,1.654,0.152,0.05,0.017,0.005,0.054,0.296,0.241,0.407,0.047,0.295,0.196,0.378,2.905,1.905,0.13,0.179,0.004,0.01,0.003,1.818,0.065,3.982,1.135,0.009,0.037,1.381,0.027,4.7,2.183,0.659,3.483,0.113,0.053,0.078,0.034
87,S2_1,MR Rec Area (picnic tables),10/15/2025,7:19 AM,RV,Stream,Spatial,1,41.3,563.8,522.5,,Yes,,,,Yes,2263,-50.91624,-7.975555,-4.20245,11/24/2025,RV_PFAS_11132025,0,0.104,0.041,0.317,0.015,1.225,0.043,0.002,0.005,0.079,0.159,0.178,0.222,0.07,0.181,0.469,0.196,1.202,1.014,0.038,0.027,0.004,0.014,0.003,0.645,0.027,0.756,0.566,0.008,0.01,0.517,0.005,1.883,1.136,0.529,0.972,0.075,0.016,0.023,0.022
88,S2_2,Puffers Waterfall,10/15/2025,7:48 AM,RV,Stream,Spatial,2,41.4,,,,Yes,,,,,2267,-50.43,-7.97,-4.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,S2_3,Puffers Beach,10/15/2025,7:55 AM,RV,Stream,Spatial,3,41.3,,,,Yes,,,,,2268,-50.86,-8.03,-4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,S2_4,Upper puffers - Railroad,10/15/2025,8:07 AM,RV,Stream,Spatial,4,42.1,,,,Yes,,,,,2270,-49.69,-8.01,-4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,S2_5,Haskin Meadows (fishing spot),10/15/2025,8:16 AM,RV,Stream,Spatial,5,41.9,,,,Yes,,,,,2271,-49.9,-8.14,-3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,S2_6,Atkins Reservoir,10/15/2025,8:34 AM,RV,Stream,Spatial,6,41.1,,,,Yes,,,,,2273,-41.06,-5.78,-3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,S2_7,Roaring,10/15/2025,8:43 AM,RV,Stream,Spatial,7,41.3,,,,Yes,,,,,2274,-51.83,-8.24,-4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,S2_8,Broad Hil,10/15/2025,8:50 AM,RV,Stream,Spatial,8,41.2,,,,Yes,,,,,2275,-52.22,-8.38,-4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,S2_9,Shutesbury Cemetary,10/15/2025,9:01 AM,RV,Stream,Spatial,9,41.7,,,,Yes,,,,,2276,-46.42,-7.46,-3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,S2_10,Doolittle,10/15/2025,9:22 AM,RV,Stream,Spatial,10,41.8,,,,Yes,,,,,2277,-50.68,-8.05,-4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,S2_11,Leverett Library,10/15/2025,9:33 AM,RV,Stream,Spatial,11,41.3,,,,Yes,,,,,2278,-53.58,-8.48,-4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,S2_12,Leverett Pond,10/15/2025,9:44 AM,RV,Stream,Spatial,12,41.6,,,,Yes,,,,,2279,-29.8,-3.49,-1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,S2_13,Eastman Up,10/15/2025,9:59 AM,RV,Stream,Spatial,13,41.5,,,,Yes,,,,,2280,-41.15,-6.17,-2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,S2_14,LW Boat Ramp,10/15/2025,1:50 PM,RV,Stream,Spatial,14,41.4,,,,Yes,,,,,2284,-42.63,-7.02,-3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,S2_15,Prindle School,10/15/2025,2:20 PM,RV,Stream,Spatial,15,41.4,,,,Yes,,,,,2285,-39.77,-6.4,-3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,S2_16,Horse Farm Up,10/15/2025,2:30 PM,RV,Stream,Spatial,16,41.2,,,,Yes,,,,,2286,-42.25,-6.79,-3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,S2_17,Fieldstone,10/15/2025,2:47 PM,RV,Stream,Spatial,17,41.8,,,,Yes,,,,,2289,-50.932099,-8.091308,-4.185691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,WC_9,Wet Center,10/17/2025,9:22:00 AM,RV,Stream,Baseflow,,41.58,548.82,,Yes,Yes,Yes - no TN,No (no more sample),No (no more sample),,2292,-50.73,-7.99,-2.78,6/4/2026,RV_PFAS_07082026,0.00 bdl,0.16 bdl,0.00 bdl,0.58 bdl,0.32 bdl,0.24 bdl,0.02 bdl,0.00 bdl,0.01 bdl,0.06 bdl,0.21 bdl,0.11 bdl,0.26 bdl,0.07 bdl,0.20 bdl,0.33 bdl,0.21 bdl,0.67 bdl,1.56,0.07 bdl,0.03 bdl,0.00 bdl,0.04 bdl,0.00 bdl,2.27,0.03 bdl,5.49,0.98 bdl,0.01 bdl,0.01 bdl,0.58 bdl,0.02 bdl,3.97,1.8,0.44 bdl,4.62,0.16 bdl,0.01 bdl,0.02 bdl,0.06 bdl
105,,Wet Center UP,10/17/2025,9:30:00 AM,RV,Stream,Baseflow,,41.4,,,Yes,Yes,Yes - no TN,No (no more sample),No (no more sample),,2293,-50.45,-7.88,-2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Roaring ,10/18/2025,10:57:00 AM,"RV, TN, CG, XG",Stream,13-Site,,N/A,,,Yes,NO,Yes,Yes,Yes,NO,2295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Doolittle,10/18/2025,11:14:00 AM,"RV, TN, CG, XG",Stream,13-Site,,N/A,,,Yes,NO,Yes,Yes,Yes,NO,2296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Eastman Up ,10/18/2025,11:35:00 AM,"RV, TN, CG, XG",Stream,13-Site,,N/A,,,Yes,NO,Yes,Yes,Yes,NO,2297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
