Sample #,Sample Name on LC/MS,Location,Date,Time,Collecter,Type,Project,Comment,Container Mass (g),Total mass (g),Sample Mass (g),TOC/IC sample collected?,PFAS Collected?,TOC/TN analyzed,IC analyzed,UV254 analyzed,PFAS Analyzed?,Isotope #,Delta 2H,Delta 18O,Delta 17O,Ran on Auto SPE,Corresponding Table,11Cl-PF3OUdS Results,3-3 FTCA Results,4:2FTS Results,5-3 FTCA Results,6:2FTS Results,7-3 FTCA Results,8:2FTS Results,9Cl-PF3ONS Results,ADONA Results,HFPO-DA Results,NEtFOSA Results,NEtFOSAA Results,NEtFOSE Results,NFDHA Results,NMeFOSA Results,NMeFOSAA Results,NMeFOSE Results,PFBA Results,PFBS Results,PFDA Results,PFDoA Results,PFDoS Results,PFDS Results,PFEESA Results,PFHpA Results,PFHpS Results,PFHxA Results,PFHxS Results,PFMBA Results,PFMPA Results,PFNA Results,PFNS Results,PFOA Results,PFOS Results,PFOSA Results,PFPeA Results,PFPeS Results,PFTeDA Results,PFTrDA Results,PFUnA Results
26,SE13_17,Wet Center,7/16/2025,1:00:00 AM,RV,Stream,Stream_Storm,Storm #13. Sample 17,41.5,435.49,393.99,"Yes, subsampled 100 Ml from PFAS sample",Yes,,,,Yes,2181,-49.635801,-8.321926,-3.892706,5/4/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,SE13_19,Wet Center,7/16/2025,5:00:00 AM,RV,Stream,Stream_Storm,Storm #13. Sample 19,41.5,542.7,501.2,,Yes,,,,Yes,2183,-50.031729,-8.190813,-3.852274,11/8/2025,RV_PFAS_11132025,0.011,0.639,0.078,0.206,0.151,0.76,0.011,0.022,0,0.068,0.223,0.188,0.437,0.081,0.234,0.197,0.394,2.497,1.395,0.131,0.043,0.032,0.006,0.01,1.843,0.059,3.382,0.865,0.007,0.016,0.902,0.006,3.366,2.069,0.65,2.827,0.147,0.057,0.056,0.014
28,SE13_21,Wet Center,7/16/2025,9:00:00 AM,RV,Stream,Stream_Storm,Storm #13. Sample 21,41.5,431.61,390.11,"Yes, subsampled 100 Ml from PFAS sample",Yes,,,,Yes,2185,-49.999914,-8.069252,-3.825327,5/4/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,SE13_23,Wet Center,7/16/2025,1:00:00 PM,RV,Stream,Stream_Storm,Storm #13. Sample 23,42,437.78,395.78,"Yes, subsampled 100 Ml from PFAS sample",Yes,,,,Yes,2187,-49.583884,-7.965952,-3.74051,5/4/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,WC_1,Wet Center,7/23/2025,2:36 PM,RV,Stream,Baseflow,,41.93,536.8,494.87,,Yes,,,,,,,,,6/1/2026,RV_PFAS_07082026,0.00 bdl,0.00 bdl,0.00 bdl,0.69 bdl,1.19 bdl,0.06 bdl,0.03 bdl,0.01 bdl,0.01 bdl,0.08 bdl,0.16 bdl,0.11 bdl,0.27 bdl,0.07 bdl,0.19 bdl,0.28 bdl,0.33 bdl,0.48 bdl,1.85,0.11 bdl,0.07 bdl,0.00 bdl,0.04 bdl,0.01 bdl,2.75,0.04 bdl,6.41,0.92 bdl,0.01 bdl,0.01 bdl,0.62 bdl,0.01 bdl,4.58,2.4,3.78,5.49,0.12 bdl,0.03 bdl,0.03 bdl,0.07 bdl
31,,Wet Center UP,7/23/2025,2:42 PM,RV,Stream,Baseflow,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,WC_8,Wet Center,7/28/2025,2:09 PM,RV,Stream,Baseflow,,41.58,453.84,412.26,,Yes,,,,,,,,,6/4/2026,RV_PFAS_07082026,0.00 bdl,0.14 bdl,0.00 bdl,0.59 bdl,0.37 bdl,0.33 bdl,0.01 bdl,0.00 bdl,0.00 bdl,0.11 bdl,0.35 bdl,0.13 bdl,0.42 bdl,0.07 bdl,0.35 bdl,0.32 bdl,0.40 bdl,2.39 bdl,1.48,0.12 bdl,0.00 bdl,0.01 bdl,0.01 bdl,0.00 bdl,2.07,0.10 bdl,4.89,0.96 bdl,0.01 bdl,0.00 bdl,0.54 bdl,0.00 bdl,3.67,1.82,0.19 bdl,3.88,0.10 bdl,0.07 bdl,0.05 bdl,0.04 bdl
33,,Wet Center UP,7/28/2025,2:45 PM,RV,Stream,Baseflow,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,Wet Center UP,8/7/2025,10:58:00 AM,"RV,XG",Stream,Baseflow,,,,,,Yes,,,,,2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,WC_2,Wet Center ,8/7/2025,11:07:00 AM,"RV,XG",Stream,Baseflow,,41.58,586,544.42,,Yes,,,,,2040,,,,6/1/2026,RV_PFAS_07082026,0.00 bdl,0.19 bdl,0.00 bdl,0.28 bdl,0.29 bdl,0.06 bdl,0.01 bdl,0.00 bdl,0.01 bdl,0.04 bdl,0.21 bdl,0.13 bdl,0.48 bdl,0.08 bdl,0.30 bdl,0.31 bdl,0.79 bdl,0.49 bdl,2.23,0.16 bdl,0.07 bdl,0.01 bdl,0.03 bdl,0.01 bdl,2.72,0.04 bdl,6.63,0.99 bdl,0.01 bdl,0.01 bdl,0.71 bdl,0.01 bdl,4.61,2.5,5.61,5.73,0.17 bdl,0.08 bdl,0.02 bdl,0.10 bdl
