Sample Name on LC/MS,Location,Date,Time,Collecter,Type,Project,Comment,Container Mass (g),Total mass (g),Sample Mass (g),TOC/IC sample collected?,PFAS Collected?,TOC/TN analyzed,IC analyzed,UV254 analyzed,PFAS Analyzed?,Isotope #,Delta 2H,Delta 18O,Delta 17O,Ran on Auto SPE,11Cl-PF3OUdS Results,3-3 FTCA Results,4:2FTS Results,5-3 FTCA Results,6:2FTS Results,7-3 FTCA Results,8:2FTS Results,9Cl-PF3ONS Results,ADONA Results,HFPO-DA Results,NEtFOSA Results,NEtFOSAA Results,NEtFOSE Results,NFDHA Results,NMeFOSA Results,NMeFOSAA Results,NMeFOSE Results,PFBA Results,PFBS Results,PFDA Results,PFDoA Results,PFDoS Results,PFDS Results,PFEESA Results,PFHpA Results,PFHpS Results,PFHxA Results,PFHxS Results,PFMBA Results,PFMPA Results,PFNA Results,PFNS Results,PFOA Results,PFOS Results,PFOSA Results,PFPeA Results,PFPeS Results,PFTeDA Results,PFTrDA Results,PFUnA Results
SE13_5,Wet Center,7/15/2025,1:00:00 AM,RV,Stream,Stream_Storm,Storm #13. Sample 5,41.3,547.3,506,,Yes,,,,Yes,2169,,,,10/7/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE13_7,Wet Center,7/15/2025,5:00:00 AM,RV,Stream,Stream_Storm,Storm #13. Sample 7,42.4,542.6,500.2,,Yes,,,,Yes,2171,,,,10/7/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE13_9,Wet Center,7/15/2025,9:00:00 AM,RV,Stream,Stream_Storm,Storm #13. Sample 9,42.3,548.8,506.5,"Yes, subsampled 100 Ml from PFAS sample",Yes,,,,,2173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE13_11,Wet Center,7/15/2025,1:00:00 PM,RV,Stream,Stream_Storm,Storm #13. Sample 11,41.5,546.6,505.1,"Yes, subsampled 100 Ml from PFAS sample",Yes,,,,,2175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE13_13,Wet Center,7/15/2025,5:00:00 PM,RV,Stream,Stream_Storm,Storm #13. Sample 13,42.3,539.2,496.9,"Yes, subsampled 100 Ml from PFAS sample",Yes,,,,,2177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE13_15,Wet Center,7/15/2025,9:00:00 PM,RV,Stream,Stream_Storm,Storm #13. Sample 15,41.6,541.9,500.3,"Yes, subsampled 100 Ml from PFAS sample",Yes,,,,,2179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE13_17,Wet Center,7/16/2025,1:00:00 AM,RV,Stream,Stream_Storm,Storm #13. Sample 17,41.5,539.4,497.9,"Yes, subsampled 100 Ml from PFAS sample",Yes,,,,,2181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE13_19,Wet Center,7/16/2025,5:00:00 AM,RV,Stream,Stream_Storm,Storm #13. Sample 19,41.5,542.7,501.2,,Yes,,,,Yes,2183,,,,11/8/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE13_21,Wet Center,7/16/2025,9:00:00 AM,RV,Stream,Stream_Storm,Storm #13. Sample 21,41.5,534.8,493.3,"Yes, subsampled 100 Ml from PFAS sample",Yes,,,,,2185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE13_23,Wet Center,7/16/2025,1:00:00 PM,RV,Stream,Stream_Storm,Storm #13. Sample 23,42,541.6,499.6,"Yes, subsampled 100 Ml from PFAS sample",Yes,,,,,2187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
