#,Fecha/hora (EDT/EST),"Temperatura , °C","Presión absoluta , kPa"
149,10/13/2025 08:13:40,9.62,101.614
150,10/13/2025 08:23:40,9.68,101.601
151,10/13/2025 08:33:40,9.75,101.575
152,10/13/2025 08:43:40,9.85,101.583
153,10/13/2025 08:53:40,9.99,101.576
154,10/13/2025 09:03:40,10.14,101.566
155,10/13/2025 09:13:40,10.30,101.556
156,10/13/2025 09:23:40,10.45,101.568
157,10/13/2025 09:33:40,10.56,101.581
158,10/13/2025 09:43:40,10.63,101.600
159,10/13/2025 09:53:40,10.68,101.599
160,10/13/2025 10:03:40,10.71,101.601
161,10/13/2025 10:13:40,10.75,101.609
162,10/13/2025 10:23:40,10.79,101.608
163,10/13/2025 10:33:40,10.84,101.612
164,10/13/2025 10:43:40,10.91,101.613
165,10/13/2025 10:53:40,10.99,101.610
166,10/13/2025 11:03:40,11.05,101.588
167,10/13/2025 11:13:40,11.13,101.603
168,10/13/2025 11:23:40,11.24,101.589
169,10/13/2025 11:33:40,11.38,101.578
170,10/13/2025 11:43:40,11.58,101.558
171,10/13/2025 11:53:40,11.89,101.550
172,10/13/2025 12:03:40,12.04,101.543
173,10/13/2025 12:13:40,12.09,101.543
174,10/13/2025 12:23:40,12.16,101.548
175,10/13/2025 12:33:40,12.16,101.526
176,10/13/2025 12:43:40,12.15,101.534
177,10/13/2025 12:53:40,12.19,101.528
178,10/13/2025 13:03:40,12.25,101.515
179,10/13/2025 13:13:40,12.30,101.501
180,10/13/2025 13:23:40,12.35,101.509
181,10/13/2025 13:33:40,12.43,101.511
182,10/13/2025 13:43:40,12.53,101.514
183,10/13/2025 13:53:40,12.61,101.511
184,10/13/2025 14:03:40,12.64,101.500
185,10/13/2025 14:13:40,12.67,101.480
186,10/13/2025 14:23:40,12.70,101.477
187,10/13/2025 14:33:40,12.73,101.471
188,10/13/2025 14:43:40,12.76,101.482
189,10/13/2025 14:53:40,12.71,101.487
190,10/13/2025 15:03:40,12.60,101.501
191,10/13/2025 15:13:40,12.47,101.491
192,10/13/2025 15:23:40,12.34,101.482
193,10/13/2025 15:33:40,12.25,101.470
194,10/13/2025 15:43:40,12.19,101.457
195,10/13/2025 15:53:40,12.15,101.454
196,10/13/2025 16:03:40,12.11,101.442
197,10/13/2025 16:13:40,12.07,101.452
198,10/13/2025 16:23:40,12.02,101.445
199,10/13/2025 16:33:40,11.98,101.455
200,10/13/2025 16:43:40,11.93,101.460
201,10/13/2025 16:53:40,11.84,101.462
202,10/13/2025 17:03:40,11.78,101.470
203,10/13/2025 17:13:40,11.72,101.457
204,10/13/2025 17:23:40,11.68,101.459
205,10/13/2025 17:33:40,11.62,101.476
206,10/13/2025 17:43:40,11.52,101.495
207,10/13/2025 17:53:40,11.42,101.501
208,10/13/2025 18:03:40,11.34,101.499
209,10/13/2025 18:13:40,11.27,101.521
210,10/13/2025 18:23:40,11.22,101.517
211,10/13/2025 18:33:40,11.19,101.528
212,10/13/2025 18:43:40,11.19,101.523
213,10/13/2025 18:53:40,11.19,101.523
214,10/13/2025 19:03:40,11.19,101.537
215,10/13/2025 19:13:40,11.19,101.537
216,10/13/2025 19:23:40,11.20,101.533
217,10/13/2025 19:33:40,11.20,101.533
218,10/13/2025 19:43:40,11.20,101.559
219,10/13/2025 19:53:40,11.19,101.541
220,10/13/2025 20:03:40,11.15,101.538
221,10/13/2025 20:13:40,11.11,101.548
222,10/13/2025 20:23:40,11.08,101.550
223,10/13/2025 20:33:40,11.06,101.566
224,10/13/2025 20:43:40,11.05,101.570
225,10/13/2025 20:53:40,11.04,101.573
226,10/13/2025 21:03:40,11.02,101.581
227,10/13/2025 21:13:40,10.99,101.601
228,10/13/2025 21:23:40,10.98,101.609
229,10/13/2025 21:33:40,10.96,101.617
230,10/13/2025 21:43:40,10.94,101.619
231,10/13/2025 21:53:40,10.92,101.618
232,10/13/2025 22:03:40,10.90,101.616
233,10/13/2025 22:13:40,10.87,101.627
234,10/13/2025 22:23:40,10.85,101.621
235,10/13/2025 22:33:40,10.83,101.628
236,10/13/2025 22:43:40,10.78,101.603
237,10/13/2025 22:53:40,10.71,101.628
238,10/13/2025 23:03:40,10.63,101.613
239,10/13/2025 23:13:40,10.55,101.616
240,10/13/2025 23:23:40,10.48,101.606
241,10/13/2025 23:33:40,10.44,101.598
242,10/13/2025 23:43:40,10.41,101.587
243,10/13/2025 23:53:40,10.38,101.576
244,10/14/2025 00:03:40,10.33,101.585
245,10/14/2025 00:13:40,10.27,101.563
246,10/14/2025 00:23:40,10.22,101.563
247,10/14/2025 00:33:40,10.16,101.572
248,10/14/2025 00:43:40,10.12,101.564
249,10/14/2025 00:53:40,10.07,101.552
250,10/14/2025 01:03:40,10.03,101.544
251,10/14/2025 01:13:40,9.98,101.531
252,10/14/2025 01:23:40,9.92,101.522
253,10/14/2025 01:33:40,9.86,101.509
254,10/14/2025 01:43:40,9.79,101.508
255,10/14/2025 01:53:40,9.73,101.512
256,10/14/2025 02:03:40,9.66,101.502
257,10/14/2025 02:13:40,9.60,101.493
258,10/14/2025 02:23:40,9.56,101.480
259,10/14/2025 02:33:40,9.53,101.478
260,10/14/2025 02:43:40,9.51,101.454
261,10/14/2025 02:53:40,9.48,101.452
262,10/14/2025 03:03:40,9.45,101.450
263,10/14/2025 03:13:40,9.43,101.440
264,10/14/2025 03:23:40,9.42,101.430
265,10/14/2025 03:33:40,9.42,101.430
266,10/14/2025 03:43:40,9.43,101.422
267,10/14/2025 03:53:40,9.43,101.417
268,10/14/2025 04:03:40,9.44,101.418
269,10/14/2025 04:13:40,9.43,101.440
270,10/14/2025 04:23:40,9.43,101.435
271,10/14/2025 04:33:40,9.41,101.438
272,10/14/2025 04:43:40,9.39,101.445
273,10/14/2025 04:53:40,9.35,101.464
274,10/14/2025 05:03:40,9.31,101.465
275,10/14/2025 05:13:40,9.25,101.456
276,10/14/2025 05:23:40,9.21,101.462
277,10/14/2025 05:33:40,9.17,101.476
278,10/14/2025 05:43:40,9.13,101.473
279,10/14/2025 05:53:40,9.10,101.453
280,10/14/2025 06:03:40,9.07,101.446
281,10/14/2025 06:13:40,9.05,101.435
282,10/14/2025 06:23:40,9.04,101.443
283,10/14/2025 06:33:40,9.04,101.443
284,10/14/2025 06:43:40,9.05,101.440
285,10/14/2025 06:53:40,9.05,101.423
286,10/14/2025 07:03:40,9.06,101.423
287,10/14/2025 07:13:40,9.07,101.446
288,10/14/2025 07:23:40,9.09,101.474
289,10/14/2025 07:33:40,9.13,101.500
290,10/14/2025 07:43:40,9.19,101.504
291,10/14/2025 07:53:40,9.25,101.527
292,10/14/2025 08:03:40,9.33,101.516
293,10/14/2025 08:13:40,9.42,101.518
294,10/14/2025 08:23:40,9.55,101.529
295,10/14/2025 08:33:40,9.77,101.524
296,10/14/2025 08:43:40,10.08,101.512
297,10/14/2025 08:53:40,10.48,101.500
298,10/14/2025 09:03:40,10.92,101.498
299,10/14/2025 09:13:40,11.23,101.518
300,10/14/2025 09:23:40,11.36,101.514
301,10/14/2025 09:33:40,11.37,101.515
302,10/14/2025 09:43:40,11.35,101.531
303,10/14/2025 09:53:40,11.42,101.479
304,10/14/2025 10:03:40,11.72,101.471
305,10/14/2025 10:13:40,12.05,101.487
306,10/14/2025 10:23:40,12.33,101.450
307,10/14/2025 10:33:40,12.62,101.440
308,10/14/2025 10:43:40,12.85,101.431
309,10/14/2025 10:53:40,13.07,101.443
310,10/14/2025 11:03:40,13.24,101.433
311,10/14/2025 11:13:40,13.35,101.446
312,10/14/2025 11:23:40,13.43,101.420
313,10/14/2025 11:33:40,13.66,101.406
314,10/14/2025 11:43:40,14.04,101.407
315,10/14/2025 11:53:40,14.37,101.409
316,10/14/2025 12:03:40,14.70,101.379
317,10/14/2025 12:13:40,15.04,101.363
318,10/14/2025 12:23:40,15.22,101.376
319,10/14/2025 12:33:40,15.39,101.370
320,10/14/2025 12:43:40,15.58,101.343
321,10/14/2025 12:53:40,15.77,101.325
322,10/14/2025 13:03:40,16.03,101.339
323,10/14/2025 13:13:40,16.20,101.316
324,10/14/2025 13:23:40,16.34,101.307
325,10/14/2025 13:33:40,16.40,101.312
326,10/14/2025 13:43:40,16.65,101.279
327,10/14/2025 13:53:40,17.18,101.249
328,10/14/2025 14:03:40,17.63,101.230
329,10/14/2025 14:13:40,17.96,101.221
330,10/14/2025 14:23:40,18.22,101.212
331,10/14/2025 14:33:40,18.33,101.219
332,10/14/2025 14:43:40,18.30,101.226
333,10/14/2025 14:53:40,18.13,101.228
334,10/14/2025 15:03:40,17.88,101.238
335,10/14/2025 15:13:40,17.65,101.231
336,10/14/2025 15:23:40,17.45,101.267
337,10/14/2025 15:33:40,17.31,101.244
338,10/14/2025 15:43:40,17.22,101.238
339,10/14/2025 15:53:40,17.17,101.230
340,10/14/2025 16:03:40,17.21,101.233
341,10/14/2025 16:13:40,17.27,101.228
342,10/14/2025 16:23:40,17.20,101.223
343,10/14/2025 16:33:40,17.02,101.225
344,10/14/2025 16:43:40,16.88,101.237
345,10/14/2025 16:53:40,16.73,101.236
346,10/14/2025 17:03:40,16.55,101.237
347,10/14/2025 17:13:40,16.34,101.236
348,10/14/2025 17:23:40,16.11,101.220
349,10/14/2025 17:33:40,15.89,101.227
350,10/14/2025 17:43:40,15.67,101.234
351,10/14/2025 17:53:40,15.44,101.236
352,10/14/2025 18:03:40,15.19,101.228
353,10/14/2025 18:13:40,14.94,101.250
354,10/14/2025 18:23:40,14.70,101.251
355,10/14/2025 18:33:40,14.50,101.267
356,10/14/2025 18:43:40,14.32,101.294
357,10/14/2025 18:53:40,14.18,101.306
358,10/14/2025 19:03:40,14.07,101.298
359,10/14/2025 19:13:40,13.98,101.287
360,10/14/2025 19:23:40,13.90,101.291
361,10/14/2025 19:33:40,13.85,101.291
362,10/14/2025 19:43:40,13.82,101.302
363,10/14/2025 19:53:40,13.80,101.288
364,10/14/2025 20:03:40,13.77,101.255
365,10/14/2025 20:13:40,13.71,101.259
366,10/14/2025 20:23:40,13.66,101.246
367,10/14/2025 20:33:40,13.61,101.260
368,10/14/2025 20:43:40,13.54,101.251
369,10/14/2025 20:53:40,13.48,101.233
370,10/14/2025 21:03:40,13.39,101.231
371,10/14/2025 21:13:40,13.29,101.246
372,10/14/2025 21:23:40,13.23,101.259
373,10/14/2025 21:33:40,13.19,101.252
374,10/14/2025 21:43:40,13.17,101.246
375,10/14/2025 21:53:40,13.14,101.235
376,10/14/2025 22:03:40,13.14,101.226
377,10/14/2025 22:13:40,13.14,101.230
378,10/14/2025 22:23:40,13.14,101.213
379,10/14/2025 22:33:40,13.13,101.194
380,10/14/2025 22:43:40,13.11,101.189
381,10/14/2025 22:53:40,13.09,101.196
382,10/14/2025 23:03:40,13.08,101.208
383,10/14/2025 23:13:40,13.07,101.252
384,10/14/2025 23:23:40,13.08,101.231
385,10/14/2025 23:33:40,13.09,101.187
386,10/14/2025 23:43:40,13.08,101.187
387,10/14/2025 23:53:40,13.07,101.163
388,10/15/2025 00:03:40,13.07,101.163
389,10/15/2025 00:13:40,13.06,101.149
390,10/15/2025 00:23:40,13.06,101.136
391,10/15/2025 00:33:40,13.05,101.122
392,10/15/2025 00:43:40,13.03,101.129
393,10/15/2025 00:53:40,13.01,101.097
394,10/15/2025 01:03:40,12.99,101.109
395,10/15/2025 01:13:40,12.97,101.112
396,10/15/2025 01:23:40,12.94,101.105
397,10/15/2025 01:33:40,12.83,101.101
398,10/15/2025 01:43:40,12.62,101.086
399,10/15/2025 01:53:40,12.40,101.083
400,10/15/2025 02:03:40,12.16,101.069
401,10/15/2025 02:13:40,11.91,101.055
402,10/15/2025 02:23:40,11.64,101.070
403,10/15/2025 02:33:40,11.39,101.051
404,10/15/2025 02:43:40,11.16,101.047
405,10/15/2025 02:53:40,10.96,101.045
406,10/15/2025 03:03:40,10.77,101.039
407,10/15/2025 03:13:40,10.58,101.015
408,10/15/2025 03:23:40,10.40,101.015
409,10/15/2025 03:33:40,10.26,101.017
410,10/15/2025 03:43:40,10.14,100.999
411,10/15/2025 03:53:40,10.00,100.988
412,10/15/2025 04:03:40,9.86,100.995
413,10/15/2025 04:13:40,9.70,100.987
414,10/15/2025 04:23:40,9.54,100.970
415,10/15/2025 04:33:40,9.39,100.985
416,10/15/2025 04:43:40,9.28,100.980
417,10/15/2025 04:53:40,9.18,100.999
418,10/15/2025 05:03:40,9.16,100.971
419,10/15/2025 05:13:40,9.24,100.969
420,10/15/2025 05:23:40,9.36,100.965
421,10/15/2025 05:33:40,9.46,100.968
422,10/15/2025 05:43:40,9.52,100.977
423,10/15/2025 05:53:40,9.59,100.961
424,10/15/2025 06:03:40,9.68,100.946
425,10/15/2025 06:13:40,9.77,100.961
426,10/15/2025 06:23:40,9.80,100.968
427,10/15/2025 06:33:40,9.79,100.967
428,10/15/2025 06:43:40,9.73,100.954
429,10/15/2025 06:53:40,9.65,100.956
430,10/15/2025 07:03:40,9.56,100.972
431,10/15/2025 07:13:40,9.47,100.977
432,10/15/2025 07:23:40,9.44,100.975
433,10/15/2025 07:33:40,9.47,100.986
434,10/15/2025 07:43:40,9.52,101.004
435,10/15/2025 07:53:40,9.63,101.004
436,10/15/2025 08:03:40,9.84,101.007
437,10/15/2025 08:13:40,10.10,100.996
438,10/15/2025 08:23:40,10.35,100.963
439,10/15/2025 08:33:40,10.62,100.943
440,10/15/2025 08:43:40,11.00,100.933
441,10/15/2025 08:53:40,11.40,100.950
442,10/15/2025 09:03:40,11.81,100.967
443,10/15/2025 09:13:40,12.13,100.943
444,10/15/2025 09:23:40,12.45,100.936
445,10/15/2025 09:33:40,12.84,100.925
446,10/15/2025 09:43:40,13.62,100.888
447,10/15/2025 09:53:40,14.67,100.866
448,10/15/2025 10:03:40,15.25,100.889
449,10/15/2025 10:13:40,15.37,100.907
450,10/15/2025 10:23:40,16.02,100.898
451,10/15/2025 10:33:40,18.15,100.816
452,10/15/2025 10:43:40,19.14,100.835
453,10/15/2025 10:53:40,18.47,100.845
454,10/15/2025 11:03:40,17.91,100.862
455,10/15/2025 11:13:40,17.58,100.849
456,10/15/2025 11:23:40,17.35,100.847
457,10/15/2025 11:33:40,17.21,100.833
458,10/15/2025 11:43:40,17.52,100.836
459,10/15/2025 11:53:40,17.78,100.831
460,10/15/2025 12:03:40,17.97,100.844
461,10/15/2025 12:13:40,18.04,100.830
462,10/15/2025 12:23:40,18.08,100.802
463,10/15/2025 12:33:40,18.47,100.796
464,10/15/2025 12:43:40,18.97,100.785
465,10/15/2025 12:53:40,19.38,100.775
466,10/15/2025 13:03:40,19.62,100.751
467,10/15/2025 13:13:40,19.90,100.728
468,10/15/2025 13:23:40,19.97,100.710
469,10/15/2025 13:33:40,19.90,100.688
470,10/15/2025 13:43:40,20.98,100.675
471,10/15/2025 13:53:40,22.13,100.647
472,10/15/2025 14:03:40,22.14,100.661
473,10/15/2025 14:13:40,21.93,100.675
474,10/15/2025 14:23:40,21.62,100.670
475,10/15/2025 14:33:40,21.02,100.695
476,10/15/2025 14:43:40,20.18,100.661
477,10/15/2025 14:53:40,19.26,100.670
478,10/15/2025 15:03:40,18.23,100.679
479,10/15/2025 15:13:40,17.29,100.692
480,10/15/2025 15:23:40,16.58,100.688
481,10/15/2025 15:33:40,16.11,100.687
482,10/15/2025 15:43:40,15.83,100.681
483,10/15/2025 15:53:40,15.60,100.683
484,10/15/2025 16:03:40,15.37,100.693
485,10/15/2025 16:13:40,15.14,100.709
486,10/15/2025 16:23:40,14.86,100.702
487,10/15/2025 16:33:40,14.51,100.700
488,10/15/2025 16:43:40,14.24,100.707
489,10/15/2025 16:53:40,14.04,100.706
490,10/15/2025 17:03:40,13.85,100.728
491,10/15/2025 17:13:40,13.64,100.735
492,10/15/2025 17:23:40,13.39,100.752
493,10/15/2025 17:33:40,13.13,100.751
494,10/15/2025 17:43:40,12.86,100.744
495,10/15/2025 17:53:40,12.53,100.769
496,10/15/2025 18:03:40,12.13,100.766
497,10/15/2025 18:13:40,11.73,100.780
498,10/15/2025 18:23:40,11.40,100.781
499,10/15/2025 18:33:40,11.06,100.791
500,10/15/2025 18:43:40,10.74,100.802
501,10/15/2025 18:53:40,10.43,100.804
502,10/15/2025 19:03:40,10.11,100.806
503,10/15/2025 19:13:40,9.78,100.825
504,10/15/2025 19:23:40,9.52,100.814
505,10/15/2025 19:33:40,9.35,100.822
506,10/15/2025 19:43:40,9.19,100.814
507,10/15/2025 19:53:40,8.99,100.812
508,10/15/2025 20:03:40,8.81,100.837
509,10/15/2025 20:13:40,8.67,100.843
510,10/15/2025 20:23:40,8.55,100.851
511,10/15/2025 20:33:40,8.47,100.876
512,10/15/2025 20:43:40,8.41,100.866
513,10/15/2025 20:53:40,8.33,100.874
514,10/15/2025 21:03:40,8.22,100.882
515,10/15/2025 21:13:40,8.06,100.874
516,10/15/2025 21:23:40,7.86,100.889
517,10/15/2025 21:33:40,7.64,100.876
518,10/15/2025 21:43:40,7.41,100.874
519,10/15/2025 21:53:40,7.17,100.898
520,10/15/2025 22:03:40,6.90,100.894
521,10/15/2025 22:13:40,6.65,100.882
522,10/15/2025 22:23:40,6.47,100.893
523,10/15/2025 22:33:40,6.30,100.870
524,10/15/2025 22:43:40,6.13,100.896
525,10/15/2025 22:53:40,5.95,100.872
526,10/15/2025 23:03:40,5.77,100.879
527,10/15/2025 23:13:40,5.59,100.877
528,10/15/2025 23:23:40,5.39,100.869
529,10/15/2025 23:33:40,5.19,100.874
530,10/15/2025 23:43:40,5.04,100.862
531,10/15/2025 23:53:40,4.95,100.854
532,10/16/2025 00:03:40,4.92,100.852
533,10/16/2025 00:13:40,4.95,100.827
534,10/16/2025 00:23:40,4.91,100.833
535,10/16/2025 00:33:40,4.78,100.830
536,10/16/2025 00:43:40,4.59,100.832
537,10/16/2025 00:53:40,4.41,100.830
538,10/16/2025 01:03:40,4.22,100.817
539,10/16/2025 01:13:40,4.02,100.840
540,10/16/2025 01:23:40,3.86,100.852
541,10/16/2025 01:33:40,3.69,100.846
542,10/16/2025 01:43:40,3.53,100.854
543,10/16/2025 01:53:40,3.38,100.855
544,10/16/2025 02:03:40,3.23,100.846
545,10/16/2025 02:13:40,3.09,100.842
546,10/16/2025 02:23:40,2.95,100.843
547,10/16/2025 02:33:40,2.82,100.854
548,10/16/2025 02:43:40,2.70,100.838
549,10/16/2025 02:53:40,2.55,100.843
550,10/16/2025 03:03:40,2.41,100.843
551,10/16/2025 03:13:40,2.29,100.842
552,10/16/2025 03:23:40,2.19,100.824
553,10/16/2025 03:33:40,2.07,100.813
554,10/16/2025 03:43:40,1.94,100.824
555,10/16/2025 03:53:40,1.82,100.826
556,10/16/2025 04:03:40,1.68,100.813
557,10/16/2025 04:13:40,1.52,100.803
558,10/16/2025 04:23:40,1.40,100.788
559,10/16/2025 04:33:40,1.28,100.799
560,10/16/2025 04:43:40,1.18,100.786
561,10/16/2025 04:53:40,1.12,100.788
562,10/16/2025 05:03:40,1.02,100.788
563,10/16/2025 05:13:40,0.89,100.816
564,10/16/2025 05:23:40,0.76,100.796
565,10/16/2025 05:33:40,0.68,100.797
566,10/16/2025 05:43:40,0.64,100.780
567,10/16/2025 05:53:40,0.58,100.779
568,10/16/2025 06:03:40,0.49,100.766
569,10/16/2025 06:13:40,0.41,100.768
570,10/16/2025 06:23:40,0.32,100.760
571,10/16/2025 06:33:40,0.26,100.776
572,10/16/2025 06:43:40,0.22,100.767
573,10/16/2025 06:53:40,0.14,100.769
574,10/16/2025 07:03:40,0.05,100.761
575,10/16/2025 07:13:40,0.07,100.763
576,10/16/2025 07:23:40,0.10,100.775
577,10/16/2025 07:33:40,0.16,100.780
578,10/16/2025 07:43:40,0.28,100.791
579,10/16/2025 07:53:40,0.45,100.798
580,10/16/2025 08:03:40,0.67,100.788
581,10/16/2025 08:13:40,1.00,100.804
582,10/16/2025 08:23:40,1.42,100.786
583,10/16/2025 08:33:40,1.95,100.776
584,10/16/2025 08:43:40,2.55,100.755
585,10/16/2025 08:53:40,3.24,100.749
586,10/16/2025 09:03:40,4.01,100.742
587,10/16/2025 09:13:40,4.89,100.729
588,10/16/2025 09:23:40,5.87,100.742
589,10/16/2025 09:33:40,7.30,100.701
590,10/16/2025 09:43:40,9.45,100.675
591,10/16/2025 09:53:40,12.21,100.630
592,10/16/2025 10:03:40,15.17,100.604
593,10/16/2025 10:13:40,18.16,100.554
594,10/16/2025 10:23:40,20.91,100.564
595,10/16/2025 10:33:40,23.40,100.552
596,10/16/2025 10:43:40,25.56,100.535
597,10/16/2025 10:53:40,27.56,100.517
598,10/16/2025 11:03:40,29.16,100.521
599,10/16/2025 11:13:40,30.27,100.512
600,10/16/2025 11:23:40,31.12,100.499
601,10/16/2025 11:33:40,31.44,100.513
602,10/16/2025 11:43:40,30.75,100.499
603,10/16/2025 11:53:40,31.24,100.495
604,10/16/2025 12:03:40,31.82,100.490
605,10/16/2025 12:13:40,32.06,100.474
